tt0000357	short	The Haunted Curiosity Shop	1901	2
tt0000358	short	History of a Crime	1901	5
tt0000359	short	The India Rubber Head	1901	3
tt0000360	short	Hussards et grisettes	1901	\N
tt0000361	short	Lavatory moderne	1901	\N
tt0000362	short	Lecture quotidienne	1901	\N
tt0000363	short	Magical Sword	1901	2
tt0000364	short	Panorama of Esplanade by Night	1901	1
tt0000365	short	Parada de Bombeiros	1901	\N
tt0000366	short	Uma Parada dos Alunos da Casa Pia de Lisboa	1901	\N
tt0000367	short	Pas de colombine	1901	\N
tt0000368	short	Little Red Riding Hood	1901	\N
tt0000369	short	A Road for Children's Bicycles in Barcelona	1901	3
tt0000370	short	Scrooge; or Marley's Ghost	1901	6
tt0000371	short	Scène d'amour	1901	\N
tt0000372	short	Scène d'ivresse	1901	\N
tt0000373	short	The Devil's Seven Castles	1902	11
tt0000374	short	Tel est pris qui croyait prendre	1901	\N
tt0000375	short	Uma Tourada à Antiga Portuguesa	1901	\N
tt0000376	short	A táncz	1901	\N
tt0000377	short	Undressing Extraordinary	1901	3
tt0000378	short	Les vagues	1901	\N
tt0000379	short	Visita de la escuadra inglesa a Barcelona	1901	6
tt0000380	short	Sleeping Beauty	1903	\N
tt0000381	short	Buffalo Bill's Wild West Show	1902	\N
tt0000382	short	Carnaval en las ramblas	1902	9
tt0000383	short	Carreras de caballos en el hipódromo de Barcelona	1902	6
tt0000384	short	Miss Dundee and Her Performing Dogs	1902	3
tt0000385	short	Les clowns	1902	\N
tt0000386	short	La cour des miracles	1902	\N
tt0000387	short	The Coronation of King Edward VII	1902	4
tt0000388	short	Danse excentrique	1902	2
tt0000389	short	Danse fantaisiste	1902	\N
tt0000390	short	Danse mauresque	1902	\N
tt0000391	short	La dent récalcitrante	1902	\N
tt0000392	short	The Enchanted Cup	1903	\N
tt0000393	short	En faction	1902	\N
tt0000394	short	Farces de cuisinière	1902	\N
tt0000395	short	La fiole enchantée	1902	\N
tt0000396	short	Fruits de saison	1902	\N
tt0000397	short	La gavotte	1902	\N
tt0000398	short	La gigue	1902	\N
tt0000399	short	Jack and the Beanstalk	1902	10
tt0000400	short	Le lion savant	1902	\N
tt0000401	short	Le marchand de ballons	1902	\N
tt0000402	short	Mother Goose Nursery Rhymes	1902	\N
tt0000403	short	Le pommier	1902	\N
tt0000404	short	Pour secouer la salade	1902	\N
tt0000405	short	La première gamelle	1902	\N
tt0000406	short	The Prince of Darkness	1900	\N
tt0000407	short	Procesión de las hijas de María de la parroquia de Sans	1902	2
tt0000408	short	Quadrille réaliste	1902	\N
tt0000409	short	Midwife to the Upper Classes	1902	4
tt0000410	short	Demolishing and Building Up the Star Theatre	1901	2
tt0000411	short	Trompé mais content	1902	\N
tt0000412	short	The Troublesome Fly	1900	\N
tt0000413	short	The Devil's Money Bags	1902	3
tt0000414	short	Uncle Josh at the Moving Picture Show	1902	2
tt0000415	short	A Peculiar Cabinet	1902	\N
tt0000416	short	Alcohol and Its Victims	1902	4
tt0000417	short	A Trip to the Moon	1902	13
tt0000418	short	The Wild Man of Borneo	1902	\N
tt0000419	short	L'équilibriste	1902	\N
tt0000420	short	Alice in Wonderland	1903	9
